"individuo","Item_1","Item_2","Item_3","Item_4","Item_5","Item_6","Item_7","Item_8","Item_9","Item_10","Item_11","Item_12","Item_13","Item_14","Item_15","Item_16","Item_17","Item_18","Item_19","Item_20","Item_21","Item_22","Item_23","Item_24","Item_25","Item_26","Item_27","Item_28","Item_29","Item_30"
221,4,2,4,4,4,4,4,4,0,4,4,4,4,4,0,4,2,4,2,4,4,4,1,4,4,4,4,4,4,4
222,0,0,1,0,0,4,3,0,2,0,1,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
223,4,4,4,4,4,2,1,4,0,4,3,0,0,0,2,0,4,0,0,0,0,4,0,0,4,2,0,4,4,1
224,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,2,4,4,0,4,0,4,4,4,4,4,4,4
225,4,4,4,4,4,0,1,0,3,0,4,2,0,1,0,0,0,4,0,0,0,4,4,4,4,0,0,2,2,2
226,4,4,4,0,4,4,4,4,4,4,0,2,4,1,0,4,3,0,2,0,0,4,2,1,4,4,0,3,4,4
227,1,0,4,4,0,4,4,4,0,3,3,2,4,3,4,2,4,1,0,0,3,4,0,1,1,1,2,0,4,3
228,0,4,4,0,4,4,4,4,4,1,2,0,4,4,1,1,0,0,0,0,3,0,0,4,0,4,4,1,4,2
229,4,4,3,4,2,4,4,4,4,3,4,0,4,4,2,4,2,0,4,4,0,4,3,4,2,4,0,4,4,3
230,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,0,4,4,2,0,4,4,0,2,4,0,0,3,4,4
231,4,4,4,4,4,4,2,0,3,4,0,4,0,3,4,3,0,0,2,0,1,4,3,4,4,4,0,4,4,4
232,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,2,4,4,4,2,4,0,4,2,4,2,4,4,4
233,4,4,4,4,4,4,4,4,4,4,0,0,2,0,0,0,0,3,0,0,2,4,0,4,2,4,0,4,1,3
234,0,1,0,4,4,4,4,2,0,3,0,0,2,0,1,0,4,0,0,0,3,4,0,4,1,4,0,4,2,0
235,4,4,4,4,4,4,4,1,4,4,2,0,4,4,2,4,2,2,4,3,0,4,2,4,1,4,3,4,4,4
236,4,4,4,4,4,4,4,4,4,2,4,4,2,4,2,4,4,4,2,0,0,4,2,4,2,4,4,4,4,2
237,3,4,4,4,3,1,4,4,4,0,4,2,0,0,2,0,1,4,0,0,0,0,0,0,0,3,0,0,4,3
238,4,4,2,4,4,0,3,1,2,4,0,4,0,0,0,4,4,2,1,0,1,4,0,2,4,4,0,0,2,3
239,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,2,0,4,4,2,2,4,2,4,2,4,4,4,4,4
240,4,4,4,4,4,4,4,4,1,2,3,1,2,0,0,0,4,0,0,0,0,4,0,4,4,4,0,4,3,2
241,2,4,4,4,2,4,1,0,4,3,4,3,0,4,4,2,0,0,0,0,0,4,0,2,4,4,0,4,2,4
242,4,2,4,4,4,4,4,4,0,4,4,2,4,0,0,4,0,1,4,3,0,4,3,4,2,4,1,0,3,2
243,4,3,4,4,4,0,4,4,4,3,3,1,4,2,4,2,0,0,4,0,0,4,0,0,0,4,0,2,4,0
244,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,4,0,0,2,4,0,4,0,4,4,4,4,4,4,3
245,4,0,4,2,3,3,4,2,0,0,2,0,0,0,2,0,0,3,0,0,0,4,0,0,0,4,1,4,2,0
246,4,4,4,4,4,4,4,4,3,4,4,4,3,1,2,0,4,4,0,0,2,4,4,4,4,4,1,4,4,4
247,4,3,2,4,4,4,0,2,0,2,0,1,4,4,0,0,0,0,0,0,2,2,4,4,4,4,0,1,2,4
248,4,4,4,4,4,4,3,4,0,4,0,0,0,0,2,0,4,1,0,4,0,4,0,4,4,1,0,4,3,2
249,3,4,0,4,4,2,4,2,0,0,3,1,0,0,4,0,0,0,0,0,0,2,0,4,0,1,0,0,2,0
250,4,1,4,4,2,4,4,0,2,4,4,1,0,4,2,0,4,4,0,0,4,4,3,4,2,4,0,4,4,3
251,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,2,4,4,4,0,4,2,4,2,2,4,2
252,4,4,4,4,3,1,3,4,2,4,2,2,0,2,2,4,0,2,0,0,0,4,3,4,4,4,0,0,0,4
253,4,4,4,4,4,4,0,4,4,4,4,4,1,4,3,4,4,4,4,4,4,4,0,4,4,4,0,2,4,2
254,4,1,0,0,2,0,2,1,2,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0
255,4,4,4,0,4,3,4,3,0,4,2,0,4,1,0,2,0,0,4,4,0,4,0,4,0,4,2,4,4,3
256,4,4,4,1,4,4,4,4,4,4,4,0,0,4,4,2,4,4,0,0,0,4,4,4,4,4,0,4,4,4
257,4,4,4,4,4,4,4,4,4,4,4,2,1,4,2,4,0,0,0,2,1,4,2,0,3,4,4,4,1,4
258,4,4,4,4,4,2,4,4,1,4,0,0,4,3,4,2,4,0,4,2,4,4,4,4,4,4,1,4,4,2
259,4,4,4,4,4,4,0,0,4,4,0,4,0,2,1,0,0,1,4,4,1,4,0,4,4,4,0,0,4,2
260,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,1,4,2,0,3,4,1,4,4,4,4,4,4,4
261,4,4,0,4,4,4,2,4,0,1,3,0,0,2,0,0,0,1,0,0,3,4,0,2,0,4,0,0,4,4
262,4,4,4,2,4,4,4,4,4,4,4,2,0,4,1,2,0,2,4,4,4,4,4,4,4,4,0,4,4,4
263,1,4,4,1,4,4,4,4,0,4,2,1,0,0,0,0,0,2,0,0,0,4,0,2,2,4,0,2,4,2
264,4,3,4,4,3,4,4,4,4,2,4,2,4,0,0,3,2,3,4,1,0,4,4,4,4,4,4,4,4,4
265,4,4,3,4,4,4,3,4,4,0,4,4,4,3,1,0,0,0,0,2,2,4,3,4,2,4,0,4,1,2
266,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1,0,4,0,4,0,4,4,4,0,4
267,4,4,4,4,4,4,3,4,3,0,4,1,2,4,4,4,1,4,0,2,3,4,0,4,4,4,2,3,1,2
268,4,4,4,4,4,1,4,4,4,1,1,2,2,4,4,4,4,0,4,1,2,4,4,4,4,4,2,4,4,4
269,0,3,4,4,4,0,0,1,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,1,2,0,1,0,2
270,4,4,4,4,4,4,4,4,4,4,1,4,4,2,1,0,0,0,0,2,2,4,0,4,4,4,0,4,4,3
271,0,4,4,4,4,4,4,4,1,4,4,0,0,0,0,0,4,0,0,3,0,4,0,4,2,4,0,4,0,4
272,4,4,3,4,4,3,4,4,4,3,4,2,0,0,2,4,2,0,0,0,0,4,4,4,4,4,0,4,4,4
273,4,4,4,4,4,4,4,4,4,3,0,4,4,4,4,4,2,4,4,0,1,4,2,4,0,4,2,0,4,2
274,4,4,4,4,4,3,4,4,3,0,4,4,0,1,4,4,4,0,4,0,3,4,2,4,4,4,4,0,4,3
275,4,4,0,2,4,4,0,4,0,1,0,0,0,0,0,4,1,0,0,0,0,4,0,4,0,4,0,0,0,4
276,4,3,4,4,4,4,4,4,4,4,0,1,1,1,1,0,0,4,4,4,2,4,0,4,2,4,0,0,4,4
277,4,0,4,0,4,0,4,2,0,3,0,1,0,2,0,0,0,4,0,0,0,4,1,4,4,4,2,1,4,2
278,4,4,4,1,4,0,4,4,0,1,4,2,0,0,0,0,2,0,1,0,4,0,0,2,0,4,0,4,2,0
279,4,2,4,0,4,4,4,4,2,4,4,0,2,2,4,2,0,4,0,1,4,4,0,2,0,4,2,4,4,3
280,3,4,1,4,2,4,4,0,2,2,0,4,4,1,2,1,0,0,4,1,0,0,1,0,4,4,0,1,3,4
281,4,4,4,0,4,4,3,4,0,4,4,4,4,2,4,4,0,0,4,0,4,4,4,4,2,4,4,2,4,4
282,4,4,4,4,2,4,4,4,4,2,2,4,4,0,4,0,2,0,3,4,0,4,0,2,0,4,4,0,0,4
283,4,2,4,4,4,2,4,4,4,0,0,2,2,1,4,0,1,0,0,0,0,4,0,4,0,4,1,2,0,2
284,4,3,2,4,1,4,4,4,0,2,0,0,0,0,0,0,3,4,0,0,0,4,0,0,4,4,0,2,4,4
285,4,4,4,4,4,4,4,0,1,4,3,0,0,4,2,4,4,0,2,0,0,4,0,4,4,0,1,2,4,2
286,4,4,4,4,4,2,2,4,0,0,4,0,0,2,3,0,0,0,0,0,2,1,0,3,0,4,4,2,2,0
287,4,4,0,0,2,0,0,2,4,4,0,3,4,2,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,3
288,3,0,4,4,0,4,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0
289,4,4,4,4,3,4,4,1,0,4,0,3,0,0,1,4,0,0,0,0,0,4,0,2,3,4,2,0,4,0
290,4,4,4,4,4,4,0,4,2,3,4,2,0,4,4,4,0,1,0,3,1,4,0,4,4,4,4,4,2,4
291,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,2,4,0,4,4,4,4,4,0,0,4,2
292,4,4,0,4,4,4,0,2,4,4,4,4,0,4,0,0,4,0,0,4,0,4,0,4,0,4,0,0,4,4
293,4,4,4,2,4,3,0,4,4,4,2,0,0,3,0,4,4,4,4,0,0,4,2,4,2,2,4,4,4,2
294,4,3,4,4,4,0,4,4,0,4,2,4,0,0,2,4,0,0,0,0,0,4,0,2,0,4,0,0,1,2
295,0,4,4,0,4,0,4,4,4,1,4,0,0,4,0,2,0,4,0,0,0,0,2,0,4,4,0,0,0,0
296,0,0,0,0,0,2,0,0,0,4,0,0,3,0,4,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
297,4,4,4,2,4,4,4,4,0,0,4,4,3,3,0,0,0,2,4,0,0,4,4,4,4,4,0,4,4,0
298,0,2,2,4,4,1,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,4,2,0,4,0,0
299,0,4,4,4,0,1,3,4,4,1,3,2,0,0,0,0,0,2,0,2,0,2,3,4,0,4,0,0,0,0
300,4,3,4,4,0,1,2,2,0,0,0,1,1,1,2,4,0,0,0,0,0,4,0,4,0,2,0,0,0,1
301,0,2,4,3,0,0,0,4,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,0,3,4,0,0,0,0
302,4,4,4,4,4,4,4,0,4,4,4,4,4,1,3,4,0,0,4,2,0,4,0,4,4,4,4,4,4,3
303,3,4,4,2,4,0,4,1,0,3,1,4,0,0,0,0,4,0,0,0,4,4,0,0,2,0,0,0,1,0
304,3,4,4,4,4,0,4,4,4,4,4,4,4,3,4,0,1,3,3,0,4,4,0,4,3,4,0,4,4,4
305,4,4,4,4,4,3,4,4,0,4,4,0,4,4,2,4,0,0,4,0,4,4,0,4,4,4,2,4,4,4
306,4,0,4,4,1,4,2,4,4,2,3,0,0,0,0,4,0,0,0,0,0,1,0,2,0,4,0,4,4,3
307,4,4,4,4,4,2,4,4,2,4,4,4,0,0,4,4,0,2,4,0,0,4,0,4,0,4,0,1,0,2
308,4,4,1,4,0,2,4,4,0,3,0,2,0,0,1,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0
309,4,4,4,4,4,4,0,4,4,4,0,1,1,2,2,4,4,0,1,0,0,4,0,4,4,4,2,3,4,2
310,4,4,0,4,2,4,0,0,1,0,4,2,0,1,0,0,0,0,0,0,0,4,0,2,0,4,0,0,0,0
311,4,1,4,4,0,4,2,4,4,2,4,0,1,0,4,0,4,2,2,0,0,4,0,0,4,0,0,4,4,2
312,4,4,3,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,4,0,1,4,0,0,0,4,0,2,4,1
313,4,4,4,4,1,4,4,4,4,0,0,4,2,4,0,4,0,0,0,1,4,4,3,4,4,2,4,0,3,3
314,4,4,4,0,4,4,0,4,4,3,4,0,4,1,2,4,4,3,1,0,4,1,3,0,0,4,2,4,4,2
315,1,4,1,0,2,0,4,4,0,2,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0,2,0,1,0,0
316,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,0,0,2,3,4,0,4,4,4,0,2,4,4
317,4,4,4,4,2,4,4,3,2,4,3,4,2,3,2,0,4,0,4,0,0,4,0,4,2,4,1,0,4,4
318,4,4,4,4,2,4,4,4,4,4,4,4,4,4,0,4,0,4,2,4,4,4,0,4,4,4,2,4,4,4
319,4,4,4,4,4,2,4,4,4,3,4,0,0,1,1,0,0,2,0,0,0,4,0,3,0,2,0,3,4,3
320,4,4,4,4,4,4,4,4,2,2,4,4,0,2,2,1,0,1,0,1,1,2,0,3,4,4,0,2,2,3
321,3,2,0,4,3,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,4,4,0,3,0,1,1,0,0,0
322,3,4,4,4,4,4,4,2,0,4,3,2,4,0,3,1,0,2,2,2,2,4,0,2,2,4,2,0,4,4
323,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,0,4,2,3,4,0,4,4,4,0,4,4,2
324,4,2,4,0,0,1,4,3,4,3,1,0,4,0,0,0,4,0,0,4,0,4,0,0,4,4,0,0,4,0
325,1,3,4,4,1,4,4,2,4,4,4,0,4,3,4,0,0,4,0,0,0,4,0,0,0,4,0,1,2,0
326,4,4,4,4,4,4,4,0,4,4,0,4,2,4,4,4,4,0,4,0,0,4,1,4,4,4,2,4,4,4
327,1,4,2,4,0,1,0,3,1,1,2,0,0,0,0,0,0,0,1,0,3,4,0,2,0,4,1,0,2,0
328,3,3,4,4,4,4,2,4,2,2,0,0,3,0,0,2,0,0,0,0,0,3,0,4,2,4,0,0,4,2
329,4,4,4,4,4,4,4,0,1,4,4,4,4,2,4,4,2,4,0,0,0,4,0,4,4,4,2,0,4,4
330,4,0,4,4,4,0,2,4,4,4,4,2,4,3,0,1,4,0,4,0,0,4,2,4,0,4,4,4,4,1
331,4,0,4,4,4,4,4,0,4,0,2,0,4,0,0,0,0,0,0,0,0,4,2,4,0,4,0,0,1,0
332,4,4,4,2,4,4,4,4,3,2,4,4,4,2,0,0,0,4,0,4,1,0,0,4,0,4,4,4,4,3
333,4,4,4,4,4,0,4,4,3,4,4,4,4,4,4,4,0,2,3,1,4,4,4,4,4,4,4,4,4,2
334,0,4,4,4,1,4,0,2,4,0,4,4,2,2,4,2,0,2,0,0,0,3,0,0,0,4,0,3,3,1
335,2,4,4,4,4,4,3,4,4,4,4,4,4,0,0,4,0,1,4,0,2,4,0,4,2,4,0,4,4,0
336,4,4,4,2,4,4,0,4,0,4,1,0,0,2,0,2,2,2,0,2,0,0,0,4,4,4,0,2,4,2
337,4,4,4,4,4,0,4,4,3,4,1,0,1,0,4,2,0,2,0,0,0,4,0,4,4,4,1,4,3,4
338,3,4,4,0,4,4,4,0,4,4,4,2,1,4,4,4,0,4,0,0,0,4,2,4,1,4,4,2,4,4
339,4,4,4,4,4,0,4,4,4,1,0,1,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,1,0,4
340,4,4,4,4,4,4,4,3,2,0,4,0,0,2,3,2,1,2,0,2,2,4,4,4,2,2,1,2,0,3
341,3,4,4,4,0,4,4,1,4,3,4,0,0,1,0,2,0,0,0,0,0,4,0,1,1,4,2,0,0,4
342,4,4,1,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,3,4,4
343,4,4,4,3,2,2,1,4,4,4,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,4,0,4,2,2
344,4,4,4,2,4,4,4,1,4,2,4,2,0,0,3,4,2,4,1,4,0,4,0,1,0,4,0,4,4,4
345,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,1,0,4,4,3,4,2,4,4,4,4,4
346,4,4,3,4,4,4,4,4,0,3,3,3,1,0,4,4,0,0,4,4,0,4,0,4,0,4,0,0,2,0
347,4,4,4,4,4,4,4,4,4,4,0,4,0,4,4,4,4,4,4,0,0,4,4,2,4,4,2,4,4,4
348,4,4,1,4,4,3,4,4,4,2,4,4,4,0,0,3,0,1,2,4,4,4,2,2,3,4,4,4,4,4
349,4,3,4,3,1,3,0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,4,0,1,0,0,2,0,2,0
350,4,4,4,4,4,4,4,4,2,0,0,1,0,2,4,2,2,0,0,0,0,4,0,0,0,0,3,2,1,2
351,4,4,4,1,0,0,4,4,4,2,4,4,0,0,0,0,0,1,2,3,0,4,0,4,4,4,1,0,4,4
352,4,4,4,2,4,4,4,2,1,0,3,0,2,1,1,2,2,0,0,0,2,1,0,2,0,4,0,0,1,3
353,4,1,4,4,4,4,4,4,2,2,0,4,2,0,1,4,4,0,0,2,0,4,0,4,0,4,0,2,2,2
354,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,2,4,4,4
355,4,4,0,1,0,4,4,4,2,4,2,4,4,4,0,0,0,2,0,2,1,4,0,4,3,4,0,4,4,3
356,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4
357,4,4,4,4,4,4,2,4,4,4,0,2,4,2,2,4,4,4,0,0,0,4,0,0,0,4,0,0,2,3
358,3,4,4,4,4,4,1,0,2,4,0,1,4,3,4,0,0,0,0,3,0,4,2,0,0,4,0,4,4,2
359,4,4,4,4,0,4,4,4,4,4,4,4,2,4,2,4,0,0,2,3,0,4,2,4,4,4,4,3,4,4
360,1,4,0,4,4,0,4,4,4,2,2,0,0,0,0,0,0,2,0,4,0,4,0,0,2,1,2,4,1,2
361,4,4,4,4,4,3,3,4,4,2,1,4,4,4,1,1,4,1,4,0,0,4,0,2,4,4,0,2,4,0
362,4,3,0,4,3,3,2,2,0,0,0,0,0,2,0,0,0,0,0,1,0,4,0,2,2,1,0,2,4,2
363,4,4,4,4,4,4,4,3,4,4,4,4,4,2,2,2,4,2,4,2,4,4,1,4,2,4,0,4,3,0
364,3,4,4,2,0,4,0,2,4,2,3,4,2,1,0,4,0,0,0,0,0,4,0,4,0,4,0,4,3,1
365,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4
366,4,4,4,3,4,4,4,0,4,1,2,4,0,0,0,2,4,3,4,0,0,4,0,4,2,4,0,4,4,2
367,4,0,4,4,4,4,2,1,4,2,1,4,4,2,0,1,0,0,4,0,0,4,0,2,4,2,0,4,4,4
368,4,4,4,4,4,4,4,3,4,1,0,0,2,0,0,0,4,1,0,0,0,4,0,2,2,4,3,4,4,0
369,4,4,3,4,4,4,4,4,4,4,4,2,4,4,0,4,1,2,0,0,3,4,2,2,2,4,0,4,4,4
370,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,0,4,0,4,3,0,4,3,4,4,2,0,4,4,4
371,4,4,1,0,4,2,3,4,2,0,2,0,0,0,2,0,0,4,0,0,0,4,4,0,4,4,2,0,3,4
372,4,4,0,0,4,4,3,3,3,2,0,4,4,4,1,0,2,0,2,4,4,4,0,4,4,4,0,4,0,1
373,4,4,4,4,2,4,4,3,4,1,4,4,4,4,0,4,0,0,0,3,0,4,0,4,0,4,1,4,4,3
374,4,1,2,4,4,4,4,4,4,4,1,0,0,0,2,4,4,4,0,0,4,4,1,0,4,2,0,4,3,4
375,4,4,0,4,4,4,1,4,0,4,4,4,2,2,0,4,0,4,0,4,4,4,0,4,4,4,0,2,4,0
376,4,4,2,4,4,3,4,4,4,4,4,0,2,2,4,0,0,0,4,0,3,4,0,4,1,0,0,0,0,4
377,4,4,4,4,4,4,0,4,4,3,4,2,2,0,4,2,4,0,4,4,0,4,0,0,2,4,0,4,3,0
378,3,4,4,4,4,3,4,4,1,0,2,0,0,0,4,4,0,4,0,0,1,4,0,2,4,4,0,4,2,0
379,4,3,4,4,0,4,4,0,2,2,4,4,4,0,0,0,0,0,0,0,1,4,0,1,0,2,0,1,1,0
380,4,4,0,0,0,2,2,3,0,4,0,4,0,0,1,0,0,0,0,0,0,4,0,4,0,4,0,0,2,0
381,4,4,4,0,0,4,3,0,1,2,2,0,0,1,0,1,1,0,0,1,0,4,0,0,1,4,0,1,2,0
382,4,4,4,4,4,0,4,3,4,4,4,4,4,0,3,4,0,0,2,1,0,4,0,4,2,4,0,1,2,3
383,4,4,4,1,0,0,4,0,2,4,0,1,0,0,0,0,0,2,0,0,0,0,0,4,2,0,0,0,0,0
384,4,4,1,2,4,4,4,0,2,2,4,2,4,0,0,0,0,0,0,4,0,4,0,4,4,4,0,2,2,4
385,4,4,4,4,4,4,1,2,4,0,4,4,4,4,4,4,4,3,3,2,4,4,4,4,4,4,2,4,4,3
386,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,2,0,3,0,4,1,4,4,4,1,4,3,4
387,2,4,0,2,2,0,2,4,4,0,4,0,2,0,0,0,1,1,0,0,0,4,0,3,0,2,4,4,2,4
388,4,4,4,4,1,4,1,4,1,2,0,2,0,0,1,4,1,0,1,4,0,4,0,4,0,4,0,4,2,0
389,4,1,4,1,2,0,0,0,1,1,4,0,0,0,0,0,0,0,0,2,0,4,0,0,0,4,0,0,0,0
390,4,4,4,4,2,0,4,4,4,3,4,2,0,2,0,4,4,0,3,2,0,4,0,0,0,0,1,0,4,2
391,4,4,2,4,4,4,2,4,3,4,4,2,4,4,4,0,1,0,3,0,0,4,1,4,0,4,4,2,4,2
392,4,2,4,4,4,0,0,4,0,1,3,0,0,0,4,0,0,0,0,0,0,4,4,4,4,4,0,1,2,2
393,4,4,4,1,4,4,4,4,4,4,4,2,4,3,4,0,0,0,4,3,0,4,0,4,1,4,0,3,4,4
394,1,4,0,0,0,2,1,4,0,4,0,0,0,0,0,2,0,0,0,0,0,4,0,4,4,4,0,1,0,0
395,4,4,2,4,4,4,2,1,4,4,3,4,0,4,1,0,0,2,0,0,0,4,0,2,0,4,0,4,4,1
396,4,4,4,4,4,4,4,4,1,4,4,4,4,2,4,0,2,3,0,1,0,4,4,4,4,4,4,4,4,4
397,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,4,4,4,0,4,4,4,4,4,4,2
398,4,4,4,2,4,2,4,4,0,4,4,4,4,2,0,2,2,4,2,4,2,4,2,4,0,4,0,4,4,4
399,1,4,4,4,4,4,0,4,4,2,4,0,0,1,1,2,2,0,4,4,1,4,0,1,1,4,0,0,1,4
400,4,4,4,4,4,0,1,4,2,1,2,0,0,1,3,1,2,0,0,0,0,4,3,4,4,0,0,0,2,0
401,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,0,4,3,4,2,4,0,4,4,4,4,4,4,4
402,4,4,4,4,4,4,4,4,4,4,4,3,1,4,0,0,0,0,2,3,0,4,1,4,4,4,0,2,1,2
403,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,2,0,4,1,4,4,4,1,4,4,4
404,4,4,4,0,3,4,4,4,4,4,4,0,4,4,0,0,2,0,2,0,1,4,2,4,1,2,0,4,0,3
405,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,2,0,2,4,0,4,4,2,4,4,4,4,4,4,4
406,4,1,4,4,3,3,0,4,4,0,4,0,0,2,0,0,1,4,0,0,0,4,2,4,0,4,0,3,3,0
407,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,3,4,4,0,4,4,4,4,4,4,3,4,4,4
408,3,3,4,4,3,1,4,4,4,4,4,2,0,4,3,0,0,4,0,0,0,4,0,2,4,1,0,4,0,4
409,0,0,4,4,4,4,4,1,4,4,2,1,2,4,4,4,2,0,0,0,0,4,0,2,1,4,0,3,3,0
410,4,4,4,4,3,4,1,4,0,0,4,0,4,4,3,0,0,0,0,0,0,0,0,4,2,4,0,4,1,2
411,4,4,0,4,4,4,4,4,4,4,4,0,4,2,4,4,2,4,4,0,0,4,0,4,1,4,2,3,4,4
412,4,3,4,2,4,4,3,4,2,1,4,0,0,1,3,0,4,1,0,0,2,4,0,4,4,4,0,3,4,0
413,4,1,4,2,2,4,2,4,2,1,0,0,0,4,0,1,0,0,0,0,0,4,0,4,4,4,0,0,2,2
414,0,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,2,0,4,0,4,2,4,4,4,0,4,0,4
415,4,4,4,4,4,4,4,4,4,4,4,2,1,1,2,3,1,0,0,4,4,4,0,4,4,4,4,4,4,4
416,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,0,4,3,4,4,4,1,4,0,4
417,4,4,4,4,3,4,4,2,2,4,0,4,4,4,0,0,0,0,0,0,0,1,0,4,0,4,0,4,4,0
418,4,4,0,4,4,4,1,4,0,4,1,0,2,0,0,3,4,4,0,0,4,4,0,1,2,4,0,4,4,0
419,4,4,4,4,0,2,0,4,0,0,4,0,0,0,2,0,0,3,0,0,0,4,0,4,3,3,0,3,4,2
420,4,4,4,4,3,4,4,2,4,4,4,4,0,4,4,4,0,2,0,0,2,4,4,4,4,4,0,4,4,4
421,4,4,0,4,4,4,4,4,4,4,2,0,4,4,4,4,4,0,0,2,0,1,0,4,4,4,1,2,4,3
422,4,3,4,4,4,4,4,4,4,4,1,4,4,4,2,4,0,2,4,2,2,4,3,4,2,2,0,4,4,4
423,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,2,4,2,4,4,4,0,4,4,4,4,4,4,4
424,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,2,4,2,4,0,0,4,3,2,0,4,1,4,4,0
425,4,4,2,4,0,4,4,4,4,2,4,4,4,2,4,0,0,4,3,2,0,4,1,4,2,4,0,4,0,0
426,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,1,0,4,4,1,1,3,4,4,4,4,4
427,4,2,2,0,4,4,0,3,1,1,0,4,4,0,0,4,0,0,1,0,0,4,0,4,0,0,4,0,0,0
428,4,4,4,4,4,4,1,2,4,4,2,0,4,4,0,0,2,0,0,0,0,4,0,1,0,4,0,4,4,2
429,4,4,4,2,4,4,0,4,4,4,4,0,4,1,0,2,0,2,0,0,3,4,0,4,2,4,0,4,4,3
430,4,4,4,4,2,2,4,4,4,4,2,4,1,0,4,3,2,4,1,4,0,4,0,2,4,4,0,3,4,2
431,4,4,4,4,4,4,4,4,0,4,2,4,0,1,4,4,0,0,0,1,2,4,0,4,2,4,0,4,4,2
432,4,4,4,4,3,4,0,4,4,2,4,0,1,2,2,4,2,2,1,0,0,4,3,4,0,0,0,4,4,4
433,4,2,0,2,0,4,0,0,0,3,0,0,2,2,0,0,0,4,0,0,0,4,0,1,2,0,0,0,0,0
434,4,4,4,4,4,2,4,2,2,0,3,0,1,4,4,4,0,0,0,0,0,4,0,0,4,0,0,4,0,0
435,4,4,4,4,4,4,4,1,4,1,4,2,4,0,1,0,4,0,4,3,4,4,0,4,4,4,4,0,0,3
436,4,4,4,4,4,4,4,4,4,4,4,0,4,2,2,4,1,4,0,4,0,4,0,4,4,4,4,1,4,4
437,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4
438,0,0,0,4,3,0,1,4,4,1,4,0,0,0,0,0,0,0,2,0,0,4,1,1,2,2,0,0,0,0
439,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,0,2,2,4,4,4,4,4,4,2,4,0,4,4,4
440,4,4,4,4,4,4,4,2,4,2,0,4,4,4,3,0,4,0,4,0,4,4,0,4,4,4,0,4,4,4
441,4,4,4,0,4,0,0,3,0,3,0,3,1,0,0,1,0,0,0,0,0,4,0,0,0,4,0,3,4,4
442,4,4,4,4,4,4,4,4,4,2,0,4,4,4,2,3,0,2,2,0,0,4,3,4,4,4,4,3,4,4
443,4,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,1,3,0,0,2,4,3,4,4,4,2,3,3,2
